-18243.143	1	698
-18242.186	1	713
-18241.229	1	715
-18240.273	1	700
-18239.316	1	706
-18238.360	1	724
-18237.404	1	708
-18236.447	1	710
-18235.492	1	711
-18234.536	1	720
-18233.580	1	722
-18232.625	1	726
-18231.669	1	714
-18230.714	1	699
-18229.759	1	713
-18228.805	1	721
-18227.850	1	697
-18226.895	1	711
-18225.941	1	697
-18224.987	1	723
-18224.033	1	710
-18223.079	1	722
-18222.126	1	708
-18221.172	1	725
-18220.219	1	725
-18219.265	1	715
-18218.312	1	718
-18217.360	1	703
-18216.407	1	696
-18215.454	1	710
-18214.502	1	708
-18213.550	1	732
-18212.598	1	718
-18211.646	1	719
-18210.694	1	732
-18209.742	1	718
-18208.791	1	700
-18207.840	1	724
-18206.888	1	701
-18205.937	1	708
-18204.987	1	733
-18204.036	1	718
-18203.086	1	726
-18202.135	1	707
-18201.185	1	722
-18200.235	1	701
-18199.285	1	710
-18198.335	1	728
-18197.386	1	711
-18196.437	1	730
-18195.487	1	710
-18194.538	1	718
-18193.589	1	727
-18192.641	1	728
-18191.692	1	701
-18190.744	1	725
-18189.795	1	717
-18188.847	1	744
-18187.899	1	717
-18186.952	1	731
-18186.004	1	729
-18185.057	1	726
-18184.109	1	733
-18183.162	1	759
-18182.215	1	760
-18181.268	1	774
-18180.322	1	784
-18179.375	1	796
-18178.429	1	825
-18177.482	1	810
-18176.536	1	828
-18175.591	1	793
-18174.645	1	789
-18173.699	1	777
-18172.754	1	734
-18171.809	1	760
-18170.863	1	738
-18169.919	1	731
-18168.974	1	713
-18168.029	1	737
-18167.085	1	724
-18166.140	1	727
-18165.196	1	730
-18164.252	1	717
-18163.308	1	746
-18162.365	1	715
-18161.421	1	728
-18160.478	1	714
-18159.535	1	714
-18158.592	1	711
-18157.649	1	722
-18156.706	1	724
-18155.763	1	721
-18154.821	1	724
-18153.879	1	719
-18152.937	1	730
-18151.995	1	736
-18151.053	1	742
-18150.111	1	724
-18149.170	1	724
-18148.229	1	734
-18147.287	1	718
-18146.346	1	722
-18145.406	1	721
-18144.465	1	722
-18143.524	1	721
-18142.584	1	731
-18141.644	1	722
-18140.704	1	727
-18139.764	1	717
-18138.824	1	706
-18137.884	1	725
-18136.945	1	735
-18136.006	1	725
-18135.067	1	723
-18134.128	1	726
-18133.189	1	734
-18132.250	1	735
-18131.312	1	735
-18130.373	1	734
-18129.435	1	726
-18128.497	1	738
-18127.559	1	729
-18126.622	1	754
-18125.684	1	724
-18124.747	1	746
-18123.809	1	709
-18122.872	1	734
-18121.935	1	727
-18120.999	1	735
-18120.062	1	723
-18119.126	1	709
-18118.189	1	732
-18117.253	1	726
-18116.317	1	718
-18115.381	1	714
-18114.446	1	696
-18113.510	1	723
-18112.575	1	727
-18111.640	1	702
-18110.705	1	717
-18109.770	1	712
-18108.835	1	721
-18107.900	1	711
-18106.966	1	730
-18106.032	1	742
-18105.097	1	709
-18104.164	1	721
-18103.230	1	718
-18102.296	1	721
-18101.363	1	725
-18100.429	1	720
-18099.496	1	729
-18098.563	1	709
-18097.630	1	737
-18096.697	1	728
-18095.765	1	721
-18094.832	1	707
-18093.900	1	721
-18092.968	1	711
-18092.036	1	736
-18091.104	1	729
-18090.173	1	722
-18089.241	1	745
-18088.310	1	730
-18087.379	1	741
-18086.448	1	736
-18085.517	1	737
-18084.586	1	747
-18083.656	1	742
-18082.725	1	750
-18081.795	1	719
-18080.865	1	721
-18079.935	1	743
-18079.005	1	700
-18078.076	1	725
-18077.146	1	743
